moneda_base,moneda_destino,valor_compra,valor_venta,fecha_hora,fecha_carga
USD,HNL,25.1349,26.0615,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,HRK,7.0397,7.0447,2025-03-19 15:19:03,2025-04-01 21:24:28
USD,HTG,130.242,132.095,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,IDR,16720.5,16727.5,2025-04-01 16:35:53,2025-04-01 21:24:28
USD,IQD,1282.87,1338.47,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,IRR,42000.0,42210.0,2025-03-19 15:19:03,2025-04-01 21:24:28
USD,ISK,132.77,133.37,2025-04-01 16:37:03,2025-04-01 21:24:28
USD,JMD,155.768,159.104,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,KES,128.22,130.22,2025-04-01 12:52:57,2025-04-01 21:24:28
USD,KHR,3909.21,4094.53,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,KMF,455.0,456.0,2025-03-31 21:00:00,2025-04-01 21:24:28
USD,KZT,500.887,506.446,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,LAK,21439.0,21902.3,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,LBP,89606.9,89681.0,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,LKR,292.976,299.461,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,LSL,18.1741,18.6003,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,LYD,4.81055,4.86614,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,MAD,9.32985,9.95988,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,MDL,17.6614,18.2174,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,MGA,4630.8,4723.45,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,MKD,56.5714,57.405,2025-04-01 16:31:34,2025-04-01 21:24:28
USD,MMK,3227.47,3268.45,2025-03-19 15:19:03,2025-04-01 21:24:28
USD,MOP,7.83409,8.20472,2025-04-01 11:19:02,2025-04-01 21:24:28
